證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,date
0050,元大台灣50,"81,135,717","69,896","5,396,295,605",66.00,67.00,65.80,66.95,<p style= color:red>+</p>,1.35,66.90,"1,203",66.95,372,0.00,2026-01-02
0051,元大中型100,"95,494",334,"8,813,748",91.50,92.75,91.50,92.35,<p style= color:red>+</p>,0.85,92.15,1,92.35,1,0.00,2026-01-02
0052,富邦科技,"46,573,974","19,613","1,789,438,944",38.09,38.78,37.94,38.76,<p style= color:red>+</p>,0.87,38.75,157,38.76,548,0.00,2026-01-02
0053,元大電子,"34,000",199,"4,865,997",142.30,144.20,142.30,143.65,<p style= color:red>+</p>,2.75,140.20,1,143.80,1,0.00,2026-01-02
0055,元大MSCI金融,"267,162",441,"8,516,670",31.95,32.00,31.72,31.95,<p> </p>,0.00,31.92,2,31.95,1,0.00,2026-01-02
0056,元大高股息,"55,463,608","26,146","2,051,211,325",36.77,37.09,36.77,37.01,<p style= color:red>+</p>,0.28,37.01,745,37.02,357,0.00,2026-01-02
0057,富邦摩台,"2,484",30,"482,043",193.00,195.65,193.00,195.65,<p style= color:red>+</p>,4.55,195.30,1,195.75,10,0.00,2026-01-02
0061,元大寶滬深,"479,440",272,"11,149,326",23.05,23.33,23.01,23.30,<p style= color:red>+</p>,0.25,23.26,71,23.30,8,0.00,2026-01-02
006203,元大MSCI台灣,"5,575",123,"672,452",119.95,121.45,119.95,121.45,<p style= color:red>+</p>,1.85,119.90,1,121.00,1,0.00,2026-01-02
006204,永豐臺灣加權,"24,233",83,"3,580,673",146.75,148.75,146.75,148.75,<p style= color:red>+</p>,2.00,148.50,5,148.55,1,0.00,2026-01-02
006205,富邦上証,"755,205",308,"29,869,535",39.15,39.78,39.15,39.77,<p style= color:red>+</p>,0.34,39.75,182,39.77,8,0.00,2026-01-02
